Date,Open,High,Low,Close,Volume,Adj Close
2016-07-07,4867.470215,4889.009766,4853.680176,4876.810059,1672770000,4876.810059
2016-07-06,4799.319824,4861.049805,4786.009766,4859.160156,1876090000,4859.160156
2016-07-05,4837.060059,4839.129883,4797.290039,4822.899902,1690340000,4822.899902
2016-07-01,4837.180176,4880.169922,4837.169922,4862.569824,1745130000,4862.569824
2016-06-30,4793.75,4843.109863,4774.52002,4842.669922,2171180000,4842.669922
2016-06-29,4732.930176,4787.589844,4732.339844,4779.25,2116550000,4779.25
2016-06-28,4643.930176,4692.97998,4643.930176,4691.870117,2074090000,4691.870117
2016-06-27,4664.430176,4665.040039,4574.25,4594.439941,2659650000,4594.439941
2016-06-24,4715.790039,4798.220215,4698.419922,4707.97998,4411040000,4707.97998
2016-06-23,4872.189941,4910.040039,4859.399902,4910.040039,1738570000,4910.040039
2016-06-22,4846.680176,4875.930176,4830.00,4833.319824,1682220000,4833.319824
2016-06-21,4845.080078,4852.189941,4826.589844,4843.759766,1698080000,4843.759766
2016-06-20,4856.689941,4882.149902,4834.509766,4837.209961,1779560000,4837.209961
2016-06-17,4835.02002,4835.02002,4792.339844,4800.339844,2638220000,4800.339844
2016-06-16,4809.689941,4847.859863,4778.779785,4844.919922,1851770000,4844.919922
2016-06-15,4855.080078,4868.160156,4830.330078,4834.930176,1802200000,4834.930176
2016-06-14,4836.669922,4863.009766,4811.930176,4843.549805,1919710000,4843.549805
2016-06-13,4868.509766,4894.850098,4844.939941,4848.439941,1888300000,4848.439941
2016-06-10,4915.149902,4917.919922,4880.609863,4894.549805,1822200000,4894.549805
2016-06-09,4954.149902,4965.490234,4940.549805,4958.620117,1632340000,4958.620117
2016-06-08,4970.009766,4979.660156,4956.790039,4974.640137,1692640000,4974.640137
2016-06-07,4972.129883,4979.379883,4960.279785,4961.75,1747760000,4961.75
2016-06-06,4950.459961,4980.140137,4944.870117,4968.709961,1663840000,4968.709961
2016-06-03,4958.100098,4958.649902,4909.209961,4942.52002,1697840000,4942.52002
2016-06-02,4941.25,4971.359863,4924.22998,4971.359863,1729050000,4971.359863
2016-06-01,4928.970215,4958.97998,4923.200195,4952.25,1797090000,4952.25
2016-05-31,4938.47998,4951.450195,4923.029785,4948.049805,2285350000,4948.049805
2016-05-27,4904.049805,4933.50,4902.50,4933.50,1505020000,4933.50
2016-05-26,4897.779785,4909.379883,4887.27002,4901.77002,1606250000,4901.77002
2016-05-25,4877.180176,4905.450195,4872.419922,4894.890137,1784420000,4894.890137
2016-05-24,4792.850098,4865.990234,4792.629883,4861.060059,1942280000,4861.060059
2016-05-23,4771.569824,4792.640137,4763.910156,4765.779785,1865110000,4765.779785
2016-05-20,4729.439941,4781.700195,4729.00,4769.560059,1970520000,4769.560059
2016-05-19,4717.359863,4735.27002,4678.379883,4712.529785,1805890000,4712.529785
2016-05-18,4705.779785,4762.279785,4704.490234,4739.120117,1934100000,4739.120117
2016-05-17,4768.850098,4776.149902,4703.390137,4715.72998,1925230000,4715.72998
2016-05-16,4728.859863,4791.25,4724.72998,4775.459961,1741510000,4775.459961
2016-05-13,4731.069824,4759.290039,4708.259766,4717.680176,1698030000,4717.680176
2016-05-12,4778.189941,4779.459961,4710.169922,4737.330078,1930450000,4737.330078
2016-05-11,4799.299805,4812.189941,4760.359863,4760.689941,1859110000,4760.689941
2016-05-10,4768.910156,4811.299805,4758.200195,4809.879883,1760120000,4809.879883
2016-05-09,4736.350098,4771.939941,4735.060059,4750.209961,1625100000,4750.209961
2016-05-06,4695.899902,4736.160156,4684.279785,4736.160156,1860800000,4736.160156
2016-05-05,4742.419922,4744.549805,4709.75,4717.089844,1888350000,4717.089844
2016-05-04,4735.279785,4751.640137,4713.910156,4725.640137,1950800000,4725.640137
2016-05-03,4780.879883,4791.430176,4749.709961,4763.220215,1984340000,4763.220215
2016-05-02,4786.549805,4821.569824,4768.279785,4817.589844,1880460000,4817.589844
2016-04-29,4805.790039,4807.890137,4740.839844,4775.359863,2376460000,4775.359863
2016-04-28,4857.600098,4889.160156,4796.319824,4805.290039,2161400000,4805.290039
2016-04-27,4855.379883,4872.910156,4826.379883,4863.140137,1938780000,4863.140137
2016-04-26,4903.810059,4915.00,4875.419922,4888.279785,1825020000,4888.279785
2016-04-25,4891.47998,4904.870117,4878.370117,4895.790039,1582270000,4895.790039
2016-04-22,4898.240234,4921.660156,4872.02002,4906.22998,2018930000,4906.22998
2016-04-21,4949.120117,4966.609863,4932.640137,4945.890137,1758190000,4945.890137
2016-04-20,4941.990234,4969.319824,4928.290039,4948.129883,1781340000,4948.129883
2016-04-19,4968.299805,4968.669922,4915.52002,4940.330078,1824250000,4940.330078
2016-04-18,4919.359863,4960.790039,4915.629883,4960.02002,1672260000,4960.02002
2016-04-15,4938.830078,4950.430176,4925.459961,4938.220215,1684790000,4938.220215
2016-04-14,4947.620117,4961.299805,4931.810059,4945.890137,1645810000,4945.890137
2016-04-13,4904.790039,4951.910156,4903.600098,4947.419922,1936450000,4947.419922
2016-04-12,4838.819824,4879.600098,4808.910156,4872.089844,1759280000,4872.089844
2016-04-11,4873.390137,4897.549805,4833.399902,4833.399902,1545540000,4833.399902
2016-04-08,4883.990234,4892.600098,4835.359863,4850.689941,1588830000,4850.689941
2016-04-07,4893.569824,4901.490234,4831.490234,4848.370117,1908940000,4848.370117
2016-04-06,4849.580078,4921.509766,4849.279785,4920.720215,1761770000,4920.720215
2016-04-05,4855.899902,4872.700195,4838.620117,4843.930176,1726010000,4843.930176
2016-04-04,4911.209961,4917.75,4885.169922,4891.799805,1705730000,4891.799805
2016-04-01,4842.549805,4917.089844,4832.060059,4914.540039,1812250000,4914.540039
2016-03-31,4869.569824,4891.299805,4864.410156,4869.850098,1774270000,4869.850098
2016-03-30,4875.459961,4899.140137,4859.350098,4869.290039,1717820000,4869.290039
2016-03-29,4756.549805,4849.310059,4749.779785,4846.620117,1806490000,4846.620117
2016-03-28,4785.25,4787.390137,4760.009766,4766.790039,1381000000,4766.790039
2016-03-24,4743.359863,4773.50,4734.77002,4773.50,1590990000,4773.50
2016-03-23,4813.870117,4816.669922,4765.370117,4768.859863,1732630000,4768.859863
2016-03-22,4783.600098,4835.600098,4781.709961,4821.660156,1596200000,4821.660156
2016-03-21,4787.310059,4814.850098,4785.379883,4808.870117,1609230000,4808.870117
2016-03-18,4784.629883,4804.580078,4772.410156,4795.649902,2829040000,4795.649902
2016-03-17,4752.620117,4788.089844,4737.970215,4774.990234,1907190000,4774.990234
2016-03-16,4717.879883,4774.779785,4716.450195,4763.970215,1781060000,4763.970215
2016-03-15,4731.140137,4735.27002,4712.069824,4728.669922,1692420000,4728.669922
2016-03-14,4733.390137,4762.27002,4731.509766,4750.279785,1615100000,4750.279785
2016-03-11,4712.379883,4748.790039,4700.910156,4748.470215,1801790000,4748.470215
2016-03-10,4691.200195,4716.140137,4607.990234,4662.160156,1936470000,4662.160156
2016-03-09,4666.419922,4676.470215,4642.419922,4674.379883,1789550000,4674.379883
2016-03-08,4676.220215,4695.040039,4642.859863,4648.819824,1993060000,4648.819824
2016-03-07,4690.879883,4731.189941,4674.819824,4708.25,2084390000,4708.25
2016-03-04,4715.759766,4746.649902,4687.939941,4717.02002,2171230000,4717.02002
2016-03-03,4698.379883,4707.720215,4674.459961,4707.419922,1936290000,4707.419922
2016-03-02,4683.799805,4703.580078,4665.930176,4703.419922,1912510000,4703.419922
2016-03-01,4596.009766,4689.600098,4581.75,4689.600098,2080150000,4689.600098
2016-02-29,4585.299805,4619.899902,4557.459961,4557.950195,2065260000,4557.950195
2016-02-26,4615.140137,4618.850098,4580.779785,4590.470215,1814920000,4590.470215
2016-02-25,4554.72998,4582.200195,4516.890137,4582.200195,1667840000,4582.200195
2016-02-24,4453.930176,4547.640137,4425.720215,4542.609863,1978180000,4542.609863
2016-02-23,4550.049805,4558.060059,4500.939941,4503.580078,1777750000,4503.580078
2016-02-22,4548.310059,4576.470215,4546.549805,4570.609863,1794020000,4570.609863
2016-02-19,4464.669922,4513.149902,4455.100098,4504.430176,1903770000,4504.430176
2016-02-18,4548.100098,4548.470215,4482.77002,4487.540039,1955870000,4487.540039
2016-02-17,4471.660156,4540.779785,4463.509766,4534.060059,2296440000,4534.060059
2016-02-16,4397.950195,4435.959961,4376.52002,4435.959961,2117920000,4435.959961
2016-02-12,4307.290039,4340.129883,4274.149902,4337.509766,1983190000,4337.509766
2016-02-11,4218.810059,4293.220215,4209.759766,4266.839844,2812330000,4266.839844
2016-02-10,4318.279785,4369.620117,4280.72998,4283.589844,2448380000,4283.589844
2016-02-09,4224.870117,4329.609863,4222.47998,4268.759766,2465790000,4268.759766
2016-02-08,4288.02002,4301.529785,4212.810059,4283.75,2702070000,4283.75
2016-02-05,4491.47998,4493.189941,4350.370117,4363.140137,2489280000,4363.140137
2016-02-04,4492.47998,4545.52002,4463.990234,4509.560059,2200930000,4509.560059
2016-02-03,4543.819824,4547.319824,4424.470215,4504.240234,2466190000,4504.240234
2016-02-02,4588.689941,4589.899902,4503.120117,4516.950195,2185180000,4516.950195
2016-02-01,4587.589844,4636.930176,4565.370117,4620.370117,1983340000,4620.370117
2016-01-29,4512.089844,4613.950195,4511.299805,4613.950195,2617550000,4613.950195
2016-01-28,4533.810059,4533.810059,4447.50,4506.680176,2322310000,4506.680176
